Issue ID,Project Key,Issue Type,Summary,Description,Priority,Status,Labels,Components,Parent ID,Epic ID,Epic Name,Story Points,Depends On,Acceptance Criteria,Source Reference,Assignee,Due Date,Fix Version
E1,PROJECT_KEY,Epic,Production security TLS and operations,Make the public single-tenant Ubuntu service secure observable recoverable and supportable.,Highest,To Do,"production,security,operations",Platform,,,Production security TLS and operations,,,Trusted public access; tested recovery; actionable monitoring.,docs/project-review/PRODUCTION_READINESS.md; docs/operations/HOST_RUNBOOK.md,,2027-05-31,FY2084-golive
S1,PROJECT_KEY,Story,Replace self-signed public TLS certificate,Issue a trusted certificate for the production hostname and make all public browser and API traffic validate normally.,Highest,To Do,"production,tls,security",Platform,,E1,,3,DNS control and approved hostname,A browser validates the complete certificate chain; HTTP redirects to HTTPS; TLS renewal is automated and documented.,deploy/README.md; production endpoint,,2027-05-31,FY2084-golive
ST1,PROJECT_KEY,Sub-task,Confirm production DNS hostname,Record the canonical hostname and ensure its A or AAAA record points to the Ubuntu server.,High,To Do,"tls,dns",Platform,S1,E1,,2,,Hostname and DNS ownership are recorded; DNS resolves to the intended server.,docs/operations/HOST_RUNBOOK.md,,2027-05-31,FY2084-golive
ST2,PROJECT_KEY,Sub-task,Configure ACME renewal and nginx TLS,Install a trusted ACME certificate configure nginx and verify renewal without service interruption.,Highest,To Do,"tls,nginx,acme",Platform,S1,E1,,3,ST1,Strict TLS verification succeeds; renewal dry-run succeeds; no private key is in Git.,deploy/README.md,,2027-05-31,FY2084-golive
T1,PROJECT_KEY,Task,Implement encrypted off-host backups and restore rehearsal,Automate PostgreSQL plus filestore backup to approved off-host storage and prove restoration on an isolated target.,Highest,To Do,"production,backup,disaster-recovery",Platform,,E1,,5,Approved backup storage and retention policy,Scheduled backups are encrypted; a restore produces a working isolated Odoo copy; measured RPO and RTO are recorded.,docs/project-review/POSTGRESQL.md; docs/operations/HOST_RUNBOOK.md,,2027-05-31,FY2084-golive
ST3,PROJECT_KEY,Sub-task,Define backup retention and access policy,Obtain business approval for retention encryption owners and recovery objectives.,High,To Do,"backup,governance",Platform,T1,E1,,2,,Policy identifies retention RPO RTO storage owner and restore approver.,docs/project-review/DATA_AND_INTEGRATIONS.md,,2027-05-31,FY2084-golive
ST4,PROJECT_KEY,Sub-task,Automate database and filestore backup,Create a least-privilege scheduled backup job covering PostgreSQL and the active filestore.,Highest,To Do,"backup,postgresql,filestore",Platform,T1,E1,,3,ST3,Backup job exits non-zero on failure; artifacts are encrypted and off-host; logs are retained.,docs/project-review/POSTGRESQL.md,,2027-05-31,FY2084-golive
ST5,PROJECT_KEY,Sub-task,Rehearse isolated restore,Restore a selected backup to an isolated environment and verify login attachments and reports.,Highest,To Do,"restore,acceptance",Platform,T1,E1,,3,ST4,Restore report includes timestamp source backup SHA/ID application health attachment check and sign-off.,docs/operations/HOST_RUNBOOK.md,,2027-05-31,FY2084-golive
S2,PROJECT_KEY,Story,Implement production monitoring and alerting,Monitor the actual silent failures relevant to Odoo rather than only host reachability.,High,To Do,"production,monitoring",Platform,,E1,,3,Monitoring destination and on-call owner,Alerts cover private health PostgreSQL availability disk/backup failure Odoo crash loops and certificate expiry.,docs/project-review/PRODUCTION_READINESS.md,,2027-05-31,FY2084-golive
ST6,PROJECT_KEY,Sub-task,Add health and service probes,Monitor Odoo private health PostgreSQL connectivity and systemd active state.,High,To Do,"monitoring,health",Platform,S2,E1,,2,,Probe has documented thresholds and alerts after the agreed failure window.,docs/project-review/PRODUCTION_READINESS.md,,2027-05-31,FY2084-golive
ST7,PROJECT_KEY,Sub-task,Add certificate backup and disk alerts,Alert before certificate expiry on failed backup and on capacity exhaustion.,High,To Do,"monitoring,tls,backup",Platform,S2,E1,,2,S1; T1,Alert tests are recorded and routed to the named operator.,docs/operations/HOST_RUNBOOK.md,,2027-05-31,FY2084-golive
T2,PROJECT_KEY,Task,Complete production access and secret review,Inventory GitHub environment secrets server accounts SSH keys and sudo permissions; rotate or revoke anything no longer required.,High,To Do,"security,secrets,access",Platform,,E1,,3,,No unused deploy key or credential remains; production secrets are environment-scoped; access review is signed off.,docs/project-review/SECURITY.md; .github/workflows,,2027-05-31,FY2084-golive
E2,PROJECT_KEY,Epic,Release engineering and environment governance,Keep PR quality staging automation and manual production promotion reliable auditable and recoverable.,Highest,To Do,"ci-cd,staging,production",Platform,,,Release engineering and environment governance,,,Every release is traceable from PR to tested staged revision to manual production promotion.,.github/workflows; deploy/,,2027-05-31,FY2084-golive
S3,PROJECT_KEY,Story,Complete and verify production promotion workflow,Merge the native production bootstrap correction and test a no-op or approved promotion through the final workflow path.,Highest,To Do,"ci-cd,production,github-actions",Platform,,E2,,3,Current workflow-fix PR CI,Workflow streams the approved deployment script before checkout; captures rollback revision; uses key-verified SSH; validates loopback health.,.github/workflows/production-deploy.yml,,2027-05-31,FY2084-golive
ST8,PROJECT_KEY,Sub-task,Verify workflow fix merged and branch deleted,Confirm the protected PR auto-merges after CI and its remote branch is removed by repository policy.,High,To Do,"github,governance",Platform,S3,E2,,1,,Main contains the correction; PR is merged; feature branch is deleted; required checks remain enforced.,.github/workflows/production-deploy.yml,,2027-05-31,FY2084-golive
ST9,PROJECT_KEY,Sub-task,Exercise controlled deployment audit,Run a documented approved deployment and retain selected SHA deployment result service health and rollback evidence.,High,To Do,"deployment,audit",Platform,S3,E2,,2,ST8,Deployment record identifies actor SHA staging run production run and post-deploy health result.,docs/operations/ODOO_SERVICE_MANAGEMENT.md,,2027-05-31,FY2084-golive
T3,PROJECT_KEY,Task,Set runner and Podman staging operational checks,Detect an offline Windows staging runner stopped Podman machine failed registry login or stale staging health.,High,To Do,"staging,podman,runner",Platform,,E2,,3,S2 monitoring destination,Runner availability Podman machine container health and staging endpoint are observable; recovery instructions are tested.,deploy/podman/README.md,,2027-05-31,FY2084-golive
T4,PROJECT_KEY,Task,Document release rollback and change approval,Create one operational runbook for release approval deployment rollback and incident escalation.,High,To Do,"operations,runbook,change-management",Platform,,E2,,2,S3,Runbook has an owner; rollback uses the prior immutable revision; production approval remains manual.,docs/operations/HOST_RUNBOOK.md,,2027-05-31,FY2084-golive
E3,PROJECT_KEY,Epic,Bikram Sambat platform and reporting,Complete correct user-facing BS dates across operational flows reports and period analysis while retaining Gregorian storage.,High,To Do,"nepal,bikram-sambat,reporting",Nepal Localization,,,Bikram Sambat platform and reporting,,,BS is correct at the UI/report boundary across the agreed business scope.,docs/bs-calendar; custom_addons/nepali_calendar_core,,2027-04-26,FY2084-golive
S4,PROJECT_KEY,Story,Certify BS date coverage for inventory purchase and sales,Expand and verify BS presentation for the agreed high-value operational date fields including stock purchase and sale flows.,High,To Do,"bikram-sambat,inventory,purchase,sales",Nepal Localization,,E3,,5,Business field-priority decision,All agreed high-value date fields render and accept BS dates; AD storage and API behavior stay unchanged.,docs/bs-calendar/MODULE_COVERAGE.md,,2027-04-26,FY2084-golive
ST10,PROJECT_KEY,Sub-task,Prioritize operational date fields,Approve the exact stock purchase sale and inventory date fields that require BS UI coverage at go-live.,Medium,To Do,"bikram-sambat,product",Nepal Localization,S4,E3,,2,,Signed field matrix classifies required deferred and excluded fields.,docs/bs-calendar/MODULE_COVERAGE.md,,2027-04-26,FY2084-golive
ST11,PROJECT_KEY,Sub-task,Implement and test selected BS field coverage,Apply the central field behavior to selected views and add regression tests for each model family.,High,To Do,"bikram-sambat,testing",Nepal Localization,S4,E3,,3,ST10,Selected fields pass create edit search and display tests using BS input and Gregorian stored values.,docs/bs-calendar/TEST_PLAN.md,,2027-04-26,FY2084-golive
S5,PROJECT_KEY,Story,Add BS report output across statutory and financial reports,Apply central company-configured AD BS or both-date formatting to approved QWeb financial VAT and TDS outputs.,High,To Do,"bikram-sambat,reports,accounting",Nepal Localization,,E3,,3,CA decision on statutory language/output,PDF and HTML outputs honor company setting; report amounts and date domains remain Gregorian; output tests cover AD BS and both.,docs/bs-calendar/REPORTING.md,,2027-04-26,FY2084-golive
ST12,PROJECT_KEY,Sub-task,Implement central QWeb BS formatter,Provide the report formatter and configuration resolution without per-report duplicate date logic.,High,To Do,"bikram-sambat,qweb",Nepal Localization,S5,E3,,2,,Formatter is centrally tested and supports AD BS and both modes.,docs/bs-calendar/REPORTING.md,,2027-04-26,FY2084-golive
ST13,PROJECT_KEY,Sub-task,Convert financial VAT and TDS templates,Adopt the central formatter in approved financial VAT and TDS report templates.,High,To Do,"bikram-sambat,vat,tds",Nepal Localization,S5,E3,,3,ST12,Representative PDFs show the configured date convention and retain valid source dates.,docs/bs-calendar/REPORTING.md,,2027-04-26,FY2084-golive
S6,PROJECT_KEY,Story,Deliver BS-aware period filters and grouping,Design BS-month filtering and reporting group boundaries without persisting misleading BS dates.,Medium,To Do,"bikram-sambat,reporting,search",Nepal Localization,,E3,,5,S4; data-volume design review,Users filter by BS periods and group correctly across variable-length BS months; performance is measured.,docs/bs-calendar/JIRA_BACKLOG.md; docs/bs-calendar/SEARCH_AND_FILTERS.md,,2027-04-26,FY2084-golive
E4,PROJECT_KEY,Epic,Nepal accounting core and financial reporting,Complete accounting correctness usability and reconciliation of financial reports across Nepali fiscal years.,Highest,To Do,"nepal,accounting,reporting",Accounting,,,Nepal accounting core and financial reporting,,,Financial outputs reconcile to journal items and are accepted through representative fiscal-year scenarios.,NEPAL-ACCOUNTING-BUILD-PLAN.md; docs/project-review/ACCOUNTING_NEPAL.md,,2027-04-26,FY2084-golive
B1,PROJECT_KEY,Bug,Correct prior-year unallocated earnings in Balance Sheet,Ensure the Balance Sheet includes prior-year earnings so it remains balanced after the first fiscal year.,Highest,To Do,"accounting,balancesheet,fiscal-year",Accounting,,E4,,2,Representative prior-year fixture,A prior fiscal-year posting results in a balanced Balance Sheet; regression test fails if the line is removed.,docs/project-review/JIRA_BACKLOG.md BUG-11,,2027-04-26,FY2084-golive
ST14,PROJECT_KEY,Sub-task,Create multi-fiscal-year accounting fixture,Create posted current and prior fiscal-year entries with expected cumulative balance-sheet values.,High,To Do,"accounting,testing",Accounting,B1,E4,,2,,Fixture is isolated deterministic and documents expected earnings values.,docs/project-review/ACCOUNTING_NEPAL.md,,2027-04-26,FY2084-golive
ST15,PROJECT_KEY,Sub-task,Implement earnings calculation and report assertion,Implement the calculation and assert assets equal liabilities plus equity across fiscal years.,Highest,To Do,"accounting,reporting",Accounting,B1,E4,,2,ST14,Statement renders and balances in HTML PDF and regression test paths.,custom_addons/account_financial_statements,,2027-04-26,FY2084-golive
S7,PROJECT_KEY,Story,Build and reconcile Cash Flow Statement,Extend financial statements with an indirect-method cash flow statement that ties opening/closing cash to accounting data.,High,To Do,"accounting,cashflow,reporting",Accounting,,E4,,3,Chart/account-type review,Closing cash equals asset_cash ledger balance and the movement ties to the Balance Sheet.,NEPAL-ACCOUNTING-BUILD-PLAN.md Phase A,,2027-04-26,FY2084-golive
ST16,PROJECT_KEY,Sub-task,Define account-type classification and fixture,Define operating investing financing classification using account types and create representative journals.,High,To Do,"cashflow,testing",Accounting,S7,E4,,2,,Classification decision is documented; fixture covers all three sections and non-cash adjustments.,NEPAL-ACCOUNTING-BUILD-PLAN.md,,2027-04-26,FY2084-golive
ST17,PROJECT_KEY,Sub-task,Render cash flow with drill-down and tie-out,Implement report output with journal-item traceability and reconciliation assertions.,High,To Do,"cashflow,reporting",Accounting,S7,E4,,3,ST16,HTML/PDF render; every figure traces to journal items; closing cash tie-out passes.,custom_addons/account_financial_statements,,2027-04-26,FY2084-golive
S8,PROJECT_KEY,Story,Complete bank matching operational acceptance,Validate the existing Community bank matching path with real bank-statement scenarios and document supported versus deferred behavior.,High,To Do,"accounting,bank-reconciliation",Accounting,,E4,,3,Sample statement data,Outstanding payment clearing works for approved cases; limitations and user procedure are signed off.,custom_addons/l10n_np_accounting/README.md,,2027-04-26,FY2084-golive
ST18,PROJECT_KEY,Sub-task,Execute bank matching acceptance scenarios,Test customer receipt vendor payment partial payment and unmatched line scenarios.,High,To Do,"bank-reconciliation,testing",Accounting,S8,E4,,2,,Each scenario posts correct reconciliation state and accounting entries.,custom_addons/l10n_np_accounting/wizard/bank_matching.py,,2027-04-26,FY2084-golive
ST19,PROJECT_KEY,Sub-task,Publish accountant reconciliation procedure,Document user steps exceptions and escalation when automated matching is unavailable.,Medium,To Do,"bank-reconciliation,documentation",Accounting,S8,E4,,2,ST18,Accountant can complete the approved scenarios without developer access.,custom_addons/l10n_np_accounting/README.md,,2027-04-26,FY2084-golive
E5,PROJECT_KEY,Epic,Nepal statutory VAT TDS and compliance,Build configurable statutory capabilities only after authoritative Nepali CA inputs and acceptance are available.,Highest,Blocked,"nepal,statutory,blocked-ca",Accounting,,,Nepal statutory VAT TDS and compliance,,,No statutory figure is treated as compliant without CA-approved inputs and sample-period reconciliation.,NEPAL-ACCOUNTING-BUILD-PLAN.md,,2027-02-15,FY2084-golive
SP1,PROJECT_KEY,Spike,Run Nepal CA statutory configuration workshop,Obtain authoritative signed inputs for entity type chart VAT TDS depreciation fiscal period and statutory output language.,Highest,Blocked,"blocked-ca,nepal,compliance",Accounting,,E5,,3,Named Nepali CA and source documents,Signed decision register supplies every required input or explicitly defers it.,NEPAL-ACCOUNTING-BUILD-PLAN.md section 7,,2027-02-15,FY2084-golive
ST20,PROJECT_KEY,Sub-task,Confirm entity chart and fiscal-year policy,Confirm entity type NFRS/NPSAS chart codes and Shrawan-to-Ashar fiscal-year policy.,Highest,Blocked,"blocked-ca,chart,fiscal-year",Accounting,SP1,E5,,2,,CA-approved chart and fiscal-year decision is attached to Jira.,NEPAL-ACCOUNTING-BUILD-PLAN.md items 1 7 10,,2027-02-15,FY2084-golive
ST21,PROJECT_KEY,Sub-task,Confirm VAT TDS and depreciation source data,Collect dated rate threshold exemption certificate form and depreciation requirements from authoritative sources.,Highest,Blocked,"blocked-ca,vat,tds,depreciation",Accounting,SP1,E5,,2,,Source documents and effective dates are attached and approved by the CA.,NEPAL-ACCOUNTING-BUILD-PLAN.md items 2-6,,2027-02-15,FY2084-golive
S9,PROJECT_KEY,Story,Implement versioned IRD VAT return framework,Build editable versioned return forms and box-to-tax-tag mapping then validate an actual filing period to the rupee.,Highest,Blocked,"vat,ird,blocked-ca",Accounting,,E5,,5,SP1; CA-approved IRD layout,Filed return preserves its form version; each box traces to tagged journal lines; CA agrees results to the rupee.,NEPAL-ACCOUNTING-BUILD-PLAN.md Phase B2,,2027-02-15,FY2084-golive
ST22,PROJECT_KEY,Sub-task,Model versioned VAT forms and boxes,Implement effective-dated editable form and box records with tax-tag or safe formula mapping.,High,Blocked,"vat,data-model",Accounting,S9,E5,,3,SP1,Historical returns retain their original definition and mappings are auditable.,NEPAL-ACCOUNTING-BUILD-PLAN.md,,2027-02-15,FY2084-golive
ST23,PROJECT_KEY,Sub-task,Validate VAT migration and non-zero boxes,Create fixture and migration checks ensuring tagged posted invoices populate expected return boxes without skips.,Highest,Blocked,"vat,migration,testing",Accounting,S9,E5,,3,ST22,Reverting the tag migration fails the test; domestic and export cases reconcile to the ledger.,docs/project-review/JIRA_BACKLOG.md BUG-7 BUG-8,,2027-02-15,FY2084-golive
S10,PROJECT_KEY,Story,Implement configurable TDS certificates and returns,Complete effective-dated TDS configuration deduction certificate and periodic return workflows using CA-approved data.,Highest,Blocked,"tds,blocked-ca",Accounting,,E5,,5,SP1,Rates are editable and date-bounded; certificates and returns reproduce CA-approved sample periods.,NEPAL-ACCOUNTING-BUILD-PLAN.md Phase B1,,2027-02-15,FY2084-golive
ST24,PROJECT_KEY,Sub-task,Configure effective-dated TDS categories,Implement category rate threshold exemption account and effective-date records.,High,Blocked,"tds,configuration",Accounting,S10,E5,,3,SP1,Historical calculations use the applicable dated category and changes are auditable.,NEPAL-ACCOUNTING-BUILD-PLAN.md,,2027-02-15,FY2084-golive
ST25,PROJECT_KEY,Sub-task,Render and validate TDS certificate and return,Implement approved certificate fields return aggregation and accountant sample-period comparison.,High,Blocked,"tds,reporting,testing",Accounting,S10,E5,,3,ST24,Certificate and return totals tie to withholding lines and CA approval is attached.,custom_addons/l10n_np_tds/README.md,,2027-02-15,FY2084-golive
S11,PROJECT_KEY,Story,Decide and implement Nepal depreciation method,Implement pooled/block depreciation only if CA confirms it is required; otherwise document OCA asset method acceptance.,High,Blocked,"depreciation,blocked-ca",Accounting,,E5,,5,SP1,Decision is signed; accepted method matches a CA manual sample across a fiscal year.,NEPAL-ACCOUNTING-BUILD-PLAN.md Phase C1,,2027-02-15,FY2084-golive
